 MMM	3M Company
 PFE	Pfizer Inc.
 PCG	PG & E Corporation
 PMI	Philip Morris International Inc
 PM	Phoenix Mecano AG
 PEHN	Private Equity Holding AG
 PRON	Progress Now! Invest AG
 PSPN	PSP Swiss Property AG
 PUBN	PubliGroupe SA
 REPI	Repower AG
 REPP	Repower AG
 RIEN	Rieter Holding AG
 RO	Roche Holding AG
 ROG	Roche Holding AG
 HREN	Romande Energie Holding SA
 RY	Royal Bank of Canada
 SANN	Santhera Pharmaceuticals Holding AG
 SAHN	Schaffner Holding AG
 SCHN	Schindler Holding AG
 SCHP	Schindler Holding AG
 STRN	Schlatter Industries AG
 SLB	Schlumberger Limited
 STLN	SCHMOLZ+BICKENBACH AG
 SWTQ	Schweiter Technologies AG
 NATN	Schweizerische National-Versicherungs-Gesellschaft AG
 SNBN	Schweizerische Nationalbank
 SCR	Scor SE
 SGSN	SGS AG
 SHPN	ShaPE Capital AG
 SHLTN	SHL Telemedicine Ltd.
 SFZN	Siegfried Holding AG
 SIN	Siemens AG
 SIK	Sika AG
 CADN	Sociedad Comercial del Plata SA
 SOPN	Società Elettrica Sopracenerina SA (SES)
 SOON	Sonova Holding AG
 SGKN	St.Galler Kantonalbank AG
 STGN	Starrag Group Holding AG
 STMN	Straumann Holding AG
 SUN	Sulzer AG
 SFPN	Swiss Finance & Property Investment AG
 SLHN	Swiss Life Holding AG
 SPSN	Swiss Prime Site AG
 SREN	Swiss Re AG
 SCMN	Swisscom AG
 SLOG	Swisslog Holding AG
 SQN	Swissquote Group Holding Ltd
 SMET	Swmtl Holding AG in Liq
 SYNN	Syngenta AG
 TAMN	Tamedia AG
 TECN	Tecan Group AG
 TEMN	Temenos Group AG
 TEMN	Temenos Group AG
 DOW	The Dow Chemical Company
 UHR	The Swatch Group AG
 UHRN	The Swatch Group AG
 TMX	THERAMetrics holding AG
 TOHN	Tornos Holding AG
 RIGN	Transocean Ltd
 UBXN	u-blox Holding AG
 UBSN	UBS AG
 UIS	Unisys Corporation
 USIN	USI Group Holdings AG
 VLRT	Valartis Group AG
 VATN	Valiant Holding AG
 VALN	Valora Holding AG
 VAHN	Vaudoise Assurances Holding SA
 VPB	Verwaltungs- und Privat-Bank AG
 VET	Vetropack Holding AG
 VIJN	Victoria-Jungfrau Collection AG
 VILN	Villars Holding S.A.
 VW	Volkswagen AG
 VW-V	Volkswagen AG
 ROL	Von Roll Holding AG
 VONN	Vontobel Holding AG
 VZN	VZ Holding AG
 WKB	Walliser Kantonalbank
 WMN	Walter Meier AG
 WARN	Warteck Invest AG
 WFT	Weatherford International Ltd
 YPSN	Ypsomed Holding AG
 ZEH	Zehnder Group AG
 ZMH	Zimmer Holdings Inc.
 ZUBN	Züblin Immobilien Holding AG
 ZUGN	Zug Estates Holding AG
 ZG	Zuger Kantonalbank AG
 ZURN	Zurich Insurance Group AG
 ZWM	Zwahlen & Mayr SA
